ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA
T20120000050,2012-01-01,15:00:00,4,Collision with a fixed object,1,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,248600,1,0,0,1,0,1,1,5,Not at intersection,3,999,Local Road
T20120005091,2012-01-01,15:30:00,4,Collision with a fixed object,1,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,250198,1,0,0,1,1,2,2,5,Not at intersection,3,100,Local Road
T20120000602,2012-01-01,01:00:00,8,No collision and no object struck,1,Sunday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),6,36029,1,0,0,1,0,1,2,2,T intersection,3,999,Local Road
T20120000044,2012-01-01,16:25:00,1,Collision with vehicle,1,Sunday,120,HEAD ON (NOT OVERTAKING),1,42677,2,0,1,0,1,2,1,2,T intersection,2,60,Arterial Other
T20120027702,2012-01-01,13:20:00,1,Collision with vehicle,1,Sunday,131,LEFT REAR,1,39704,2,0,0,1,2,3,2,1,Cross intersection,3,60,Arterial Other
T20130002969,2012-01-01,17:00:00,1,Collision with vehicle,1,Sunday,134,LANE CHANGE RIGHT (NOT OVERTAKING),1,258890,2,0,0,1,2,3,2,5,Not at intersection,3,50,Local Road
T20120000043,2012-01-01,00:45:00,1,Collision with vehicle,1,Sunday,116,LEFT NEAR (INTERSECTIONS ONLY),5,43910,2,0,2,0,1,3,1,2,T intersection,2,80,Arterial Highway
T20120000032,2012-01-01,00:55:00,2,Struck Pedestrian,1,Sunday,108,PED STRUCK WALKING TO/FROM OR BOARDING/ALIGHTING VEHICLE.,3,53249,1,0,0,1,1,2,2,2,T intersection,3,50,Local Road
T20120000021,2012-01-01,07:30:00,4,Collision with a fixed object,1,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,248597,1,0,0,2,1,3,1,5,Not at intersection,3,50,Local Road
T20120000018,2012-01-01,05:15:00,4,Collision with a fixed object,1,Sunday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,5,22636,1,0,0,1,0,1,1,1,Cross intersection,3,100,Arterial Highway
T20120000013,2012-01-01,03:35:00,1,Collision with vehicle,1,Sunday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,3,69811,2,0,1,0,0,1,1,2,T intersection,2,60,Arterial Other
T20120000086,2012-01-01,04:41:00,1,Collision with vehicle,1,Sunday,140,U TURN,3,248605,2,0,2,0,0,2,1,5,Not at intersection,2,60,Local Road
T20120000083,2012-01-01,23:00:00,6,Vehicle overturned (no collision),1,Sunday,170,OFF CARRIAGEWAY TO LEFT,5,249689,1,1,1,1,0,3,1,5,Not at intersection,1,100,Local Road
T20120000012,2012-01-01,02:00:00,1,Collision with vehicle,1,Sunday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),3,41780,2,0,1,0,2,3,1,1,Cross intersection,2,80,
T20120000082,2012-01-01,08:15:00,1,Collision with vehicle,1,Sunday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,41011,2,0,1,0,1,2,2,1,Cross intersection,2,80,Arterial Other
T20120000066,2012-01-01,20:00:00,1,Collision with vehicle,1,Sunday,152,PULLING OUT (OVERTAKING),1,273184,2,0,1,4,5,10,1,5,Not at intersection,2,100,Arterial Highway
T20120000450,2012-01-01,16:55:00,1,Collision with vehicle,1,Sunday,130,REAR END(VEHICLES IN SAME LANE),1,256115,2,0,1,0,1,2,2,5,Not at intersection,2,70,Arterial Highway
T20120000065,2012-01-01,17:50:00,1,Collision with vehicle,1,Sunday,120,HEAD ON (NOT OVERTAKING),1,248604,2,0,1,0,2,3,1,5,Not at intersection,2,50,Arterial Highway
T20120000064,2012-01-01,21:40:00,4,Collision with a fixed object,1,Sunday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,5,248603,1,0,0,2,0,2,1,5,Not at intersection,3,100,Local Road
T20120000063,2012-01-01,16:45:00,1,Collision with vehicle,1,Sunday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,39192,2,0,1,0,2,3,1,2,T intersection,2,60,Arterial Other
T20120000096,2012-01-02,15:45:00,1,Collision with vehicle,2,Monday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,249283,2,0,0,1,1,2,1,5,Not at intersection,3,60,Arterial Other
T20120000093,2012-01-02,12:07:00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,20746,2,0,0,1,2,3,1,1,Cross intersection,3,100,Freeway
T20120000141,2012-01-02,20:00:00,4,Collision with a fixed object,2,Monday,175,OFF END OF ROAD/T-INTERSECTION.,1,71100,1,0,0,1,0,1,1,2,T intersection,3,50,Local Road
T20120000091,2012-01-02,12:20:00,4,Collision with a fixed object,2,Monday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,254398,1,0,1,0,0,1,1,5,Not at intersection,2,60,Local Road
T20120000079,2012-01-02,10:20:00,8,No collision and no object struck,2,Monday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,46415,1,0,1,0,0,1,1,2,T intersection,2,100,Local Road
T20120000084,2012-01-02,12:00:00,2,Struck Pedestrian,2,Monday,104,PED WALKING WITH TRAFFIC,1,248895,1,0,0,1,1,2,1,5,Not at intersection,3,80,Local Road
T20120003216,2012-01-02,17:30:00,4,Collision with a fixed object,2,Monday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,47778,1,0,0,1,1,2,2,2,T intersection,3,40,Arterial Other
T20120000087,2012-01-02,11:00:00,4,Collision with a fixed object,2,Monday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,1,273186,1,0,0,1,0,1,1,5,Not at intersection,3,60,
T20120000090,2012-01-02,11:00:00,4,Collision with a fixed object,2,Monday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,273187,1,0,1,0,0,1,1,5,Not at intersection,2,60,Local Road
T20120000274,2012-01-02,12:00:00,8,No collision and no object struck,2,Monday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,273189,1,0,0,1,0,1,2,5,Not at intersection,3,100,
T20120000109,2012-01-02,17:35:00,4,Collision with a fixed object,2,Monday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,273188,1,0,1,1,0,2,1,2,T intersection,2,110,Arterial Highway
T20120000104,2012-01-02,14:45:00,8,No collision and no object struck,2,Monday,170,OFF CARRIAGEWAY TO LEFT,1,248609,1,0,0,1,0,1,1,2,T intersection,3,100,Local Road
T20120000100,2012-01-02,16:00:00,1,Collision with vehicle,1,Monday,120,HEAD ON (NOT OVERTAKING),1,273193,2,0,1,0,1,2,1,5,Not at intersection,2,100,
T20120000323,2012-01-02,19:30:00,4,Collision with a fixed object,2,Monday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,248842,1,0,0,1,1,2,1,5,Not at intersection,3,60,Local Road
T20120000099,2012-01-02,17:05:00,1,Collision with vehicle,2,Monday,113,RIGHT NEAR (INTERSECTIONS ONLY),2,43751,2,0,0,1,1,2,1,2,T intersection,3,60,Local Road
T20120000098,2012-01-02,15:00:00,4,Collision with a fixed object,2,Monday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,273192,1,0,0,1,0,1,1,5,Not at intersection,3,60,Local Road
T20120007866,2012-01-02,10:30:00,1,Collision with vehicle,2,Monday,121,RIGHT THROUGH,9,43238,2,0,0,1,1,2,1,2,T intersection,3,60,Arterial Highway
T20120001135,2012-01-02,11:15:00,4,Collision with a fixed object,2,Monday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,1,273191,1,0,1,0,0,1,2,5,Not at intersection,2,100,Arterial Other
T20120000148,2012-01-02,05:45:00,4,Collision with a fixed object,2,Monday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,2,273185,1,0,0,1,1,2,1,5,Not at intersection,3,100,
T20120000900,2012-01-02,13:40:00,1,Collision with vehicle,2,Monday,130,REAR END(VEHICLES IN SAME LANE),1,39425,2,0,1,0,1,2,2,2,T intersection,2,70,Arterial Highway
T20120000097,2012-01-02,16:00:00,1,Collision with vehicle,2,Monday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,37583,2,0,3,1,0,4,1,2,T intersection,2,60,Arterial Other
T20120000592,2012-01-02,13:00:00,8,No collision and no object struck,2,Monday,170,OFF CARRIAGEWAY TO LEFT,1,273190,1,0,0,3,0,3,1,5,Not at intersection,3,80,Arterial Other
T20120002545,2012-01-03,13:00:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,249369,2,0,0,1,1,2,2,1,Cross intersection,3,50,Arterial Other
T20120000748,2012-01-03,18:00:00,6,Vehicle overturned (no collision),3,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,273197,1,0,1,0,0,1,2,5,Not at intersection,2,999,Arterial Other
T20120000116,2012-01-03,04:20:00,4,Collision with a fixed object,3,Tuesday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,3,273194,1,0,1,0,0,1,1,5,Not at intersection,2,60,
T20120004791,2012-01-03,16:15:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,782,2,0,0,1,1,2,1,1,Cross intersection,3,999,Arterial Highway
T20120007314,2012-01-03,11:24:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,29563,2,0,0,2,0,2,1,2,T intersection,3,60,Arterial Other
T20120001375,2012-01-03,16:05:00,1,Collision with vehicle,3,Tuesday,111,RIGHT FAR (INTERSECTIONS ONLY),1,46976,2,0,0,1,1,2,1,1,Cross intersection,3,999,
T20120000146,2012-01-03,13:48:00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,248616,1,0,1,3,0,4,1,5,Not at intersection,2,60,
T20120000278,2012-01-03,17:25:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,43698,2,0,0,1,1,2,2,2,T intersection,3,999,Local Road
T20120000165,2012-01-03,20:55:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),2,278495,2,0,0,1,2,3,1,1,Cross intersection,3,50,Local Road
T20120000167,2012-01-03,16:56:00,1,Collision with vehicle,3,Tuesday,120,HEAD ON (NOT OVERTAKING),1,247812,2,1,3,0,0,4,1,5,Not at intersection,1,80,Arterial Highway
T20120000142,2012-01-03,14:00:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,36651,2,0,1,0,3,4,1,1,Cross intersection,2,80,Arterial Other
T20120000169,2012-01-03,18:15:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,248791,2,0,1,1,1,3,1,1,Cross intersection,2,60,Local Road
T20120000174,2012-01-03,21:56:00,1,Collision with vehicle,3,Tuesday,134,LANE CHANGE RIGHT (NOT OVERTAKING),5,273196,2,0,0,3,0,3,1,5,Not at intersection,3,100,Freeway
T20120000139,2012-01-03,11:52:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,36366,3,0,0,2,3,5,1,1,Cross intersection,3,60,Arterial Other
T20120000147,2012-01-03,15:06:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,270,2,0,2,0,1,3,1,2,T intersection,2,60,Arterial Other
T20120000152,2012-01-03,16:30:00,4,Collision with a fixed object,3,Tuesday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,248617,1,0,0,1,1,2,1,2,T intersection,3,80,Arterial Highway
T20120000138,2012-01-03,08:30:00,4,Collision with a fixed object,3,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,248615,1,0,1,0,0,1,1,1,Cross intersection,2,100,Arterial Highway
T20120000253,2012-01-03,22:00:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),5,248822,2,0,0,1,1,2,2,2,T intersection,3,60,Local Road
T20120000155,2012-01-03,17:00:00,4,Collision with a fixed object,3,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,248618,1,0,1,0,0,1,1,2,T intersection,2,50,Local Road
T20120000377,2012-01-03,21:25:00,1,Collision with vehicle,3,Tuesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,3,248864,2,0,0,1,1,2,2,5,Not at intersection,3,40,Local Road
T20120000133,2012-01-03,11:30:00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,45006,1,0,1,0,0,1,1,2,T intersection,2,60,Local Road
T20120000131,2012-01-03,10:50:00,6,Vehicle overturned (no collision),3,Tuesday,172,OFF CARRIAGEWAY TO RIGHT,1,250962,1,0,1,0,0,1,1,5,Not at intersection,2,80,Arterial Other
T20120000124,2012-01-03,09:30:00,2,Struck Pedestrian,3,Tuesday,101,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE,1,248613,1,0,0,2,0,2,2,5,Not at intersection,3,60,Arterial Other
T20120000137,2012-01-03,01:50:00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,5,273195,1,0,1,0,0,1,1,5,Not at intersection,2,100,Arterial Other
T20120003650,2012-01-04,12:00:00,8,No collision and no object struck,4,Wednesday,182,OFF CARRIAGEWAY ON LEFT BEND,1,273204,1,0,1,0,0,1,1,5,Not at intersection,2,80,Arterial Other
T20120000322,2012-01-04,17:40:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,1,45206,2,0,1,0,1,2,2,1,Cross intersection,2,999,Arterial Other
T20120000185,2012-01-04,08:20:00,4,Collision with a fixed object,4,Wednesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,248795,1,0,1,0,0,1,1,5,Not at intersection,2,40,Arterial Other
T20120000178,2012-01-04,03:30:00,4,Collision with a fixed object,4,Wednesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,57923,1,0,2,4,0,6,1,1,Cross intersection,2,60,Local Road
T20120000227,2012-01-04,18:35:00,1,Collision with vehicle,4,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,35785,2,0,0,1,2,3,1,1,Cross intersection,3,60,Arterial Highway
T20120000225,2012-01-04,14:30:00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),1,50740,2,0,0,1,2,3,2,2,T intersection,3,50,Arterial Highway
T20120000224,2012-01-04,15:00:00,4,Collision with a fixed object,4,Wednesday,179,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,1,248809,1,0,0,1,0,1,1,5,Not at intersection,3,777,Local Road
T20120000216,2012-01-04,10:40:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,1,221931,2,0,1,0,1,2,1,4,Multiple intersection,2,70,Freeway
T20120000211,2012-01-04,14:20:00,4,Collision with a fixed object,4,Wednesday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,9,41461,1,0,1,0,0,1,1,5,Not at intersection,2,50,Arterial Other
T20120000206,2012-01-04,10:44:00,6,Vehicle overturned (no collision),4,Wednesday,180,OFF CARRIAGEWAY ON RIGHT BEND,1,248798,1,0,0,4,0,4,1,5,Not at intersection,3,80,
T20120000204,2012-01-04,10:50:00,4,Collision with a fixed object,4,Wednesday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,248896,1,0,0,3,0,3,1,5,Not at intersection,3,60,Local Road
T20120000196,2012-01-04,09:10:00,4,Collision with a fixed object,4,Wednesday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,1,273201,1,0,1,0,0,1,1,5,Not at intersection,2,100,
T20120000195,2012-01-04,09:00:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,1,390,2,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Other
T20120000190,2012-01-04,07:38:00,1,Collision with vehicle,3,Wednesday,130,REAR END(VEHICLES IN SAME LANE),1,248390,13,0,0,1,12,13,1,5,Not at intersection,3,70,
T20120000186,2012-01-04,08:56:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,1,233457,2,0,0,2,0,2,1,1,Cross intersection,3,80,Arterial Highway
T20120000205,2012-01-04,10:25:00,1,Collision with vehicle,4,Wednesday,131,LEFT REAR,1,273198,2,0,1,0,2,3,1,5,Not at intersection,2,60,Arterial Other
T20120000264,2012-01-04,21:50:00,6,Vehicle overturned (no collision),4,Wednesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),5,273205,1,0,2,0,0,2,1,5,Not at intersection,2,100,Local Road
T20120000277,2012-01-04,11:20:00,2,Struck Pedestrian,4,Wednesday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,248824,1,0,1,0,1,2,1,5,Not at intersection,2,40,Local Road
T20120000415,2012-01-04,23:20:00,1,Collision with vehicle,4,Wednesday,136,RIGHT TURN SIDESWIPE,3,29396,2,0,0,1,3,4,1,4,Multiple intersection,3,60,Local Road
T20120000242,2012-01-04,20:05:00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),2,89223,2,0,1,0,2,3,1,5,Not at intersection,2,70,Arterial Other
T20120000238,2012-01-04,18:30:00,8,No collision and no object struck,4,Wednesday,170,OFF CARRIAGEWAY TO LEFT,1,273200,1,0,0,2,0,2,1,5,Not at intersection,3,80,Local Road
T20120000237,2012-01-04,17:10:00,4,Collision with a fixed object,4,Wednesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,273199,1,0,0,1,1,2,1,5,Not at intersection,3,100,Arterial Other
T20120000231,2012-01-04,20:00:00,8,No collision and no object struck,4,Wednesday,199,UNKNOWN-NO DETAILS ON MANOEUVRES OF ROAD-USERS IN ACCIDENT,1,37516,2,0,0,1,2,3,2,1,Cross intersection,3,60,Local Road
T20120000214,2012-01-04,13:55:00,4,Collision with a fixed object,4,Wednesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,248802,1,0,1,0,0,1,1,5,Not at intersection,2,50,Local Road
T20120000917,2012-01-04,08:15:00,4,Collision with a fixed object,4,Wednesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,39381,1,0,1,0,0,1,2,2,T intersection,2,999,Local Road
T20120001406,2012-01-05,15:57:00,4,Collision with a fixed object,5,Thursday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,273223,1,0,0,1,0,1,1,5,Not at intersection,3,100,Arterial Other
T20120000460,2012-01-05,19:45:00,1,Collision with vehicle,5,Thursday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,2,199632,2,0,0,1,2,3,2,5,Not at intersection,3,50,Local Road
T20120000296,2012-01-05,15:30:00,2,Struck Pedestrian,5,Thursday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,1,273226,1,0,1,0,1,2,2,5,Not at intersection,2,999,
T20120001747,2012-01-05,19:30:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,65262,2,0,0,2,0,2,2,1,Cross intersection,3,40,Local Road
T20120001281,2012-01-05,14:30:00,4,Collision with a fixed object,5,Thursday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,249117,1,0,1,0,0,1,2,5,Not at intersection,2,100,Local Road
T20120000698,2012-01-05,08:20:00,1,Collision with vehicle,5,Thursday,149,OTHER MANOEUVRING NOT INCLUDED IN DCAs 140-148,1,251114,2,0,0,1,1,2,1,5,Not at intersection,3,60,Local Road
T20120000361,2012-01-05,13:00:00,1,Collision with vehicle,4,Thursday,120,HEAD ON (NOT OVERTAKING),1,277402,2,0,0,1,2,3,2,5,Not at intersection,3,60,Arterial Other
T20120012824,2012-01-05,21:30:00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL,5,252257,1,0,0,1,4,5,2,5,Not at intersection,3,999,Arterial Other
T20120000353,2012-01-05,10:40:00,6,Vehicle overturned (no collision),5,Thursday,170,OFF CARRIAGEWAY TO LEFT,1,1286,1,0,0,1,0,1,1,1,Cross intersection,3,80,Arterial Other
T20120000352,2012-01-05,18:00:00,4,Collision with a fixed object,5,Thursday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,248850,1,0,0,1,0,1,2,5,Not at intersection,3,80,Freeway
T20120000351,2012-01-05,15:28:00,4,Collision with a fixed object,5,Thursday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,248848,1,0,1,0,0,1,1,5,Not at intersection,2,100,Arterial Other
T20120000343,2012-01-05,14:10:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),1,207907,2,0,0,1,2,3,1,5,Not at intersection,3,30,Arterial Highway
T20120000329,2012-01-05,23:30:00,2,Struck Pedestrian,5,Thursday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,6,248843,1,0,0,1,4,5,2,5,Not at intersection,3,60,Local Road
T20120000328,2012-01-05,20:30:00,4,Collision with a fixed object,5,Thursday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,2,63572,1,0,2,2,0,4,1,2,T intersection,2,40,Local Road
T20120000321,2012-01-05,17:20:00,1,Collision with vehicle,5,Thursday,140,U TURN,1,248840,2,0,0,1,1,2,1,5,Not at intersection,3,100,
T20120000318,2012-01-05,11:30:00,5,collision with some other object,5,Thursday,166,STRUCK OBJECT ON CARRIAGEWAY,1,273209,1,0,0,1,0,1,2,5,Not at intersection,3,100,Local Road
T20120000315,2012-01-05,17:00:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,52424,2,0,3,0,0,3,1,1,Cross intersection,2,100,Local Road
T20120000314,2012-01-05,20:00:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,39047,2,0,0,1,2,3,1,1,Cross intersection,3,60,Arterial Other
T20120000307,2012-01-05,16:45:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,44024,2,0,2,0,0,2,1,1,Cross intersection,2,100,Local Road
T20120000376,2012-01-05,18:50:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,248861,2,0,1,0,1,2,1,1,Cross intersection,2,50,Local Road
T20120000245,2012-01-05,00:01:00,2,Struck Pedestrian,4,Thursday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,3,37150,1,0,1,0,2,3,1,4,Multiple intersection,2,60,Arterial Other
T20120000386,2012-01-05,23:10:00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL,6,248867,1,0,0,1,0,1,2,5,Not at intersection,3,999,Arterial Other
T20120000246,2012-01-05,02:55:00,4,Collision with a fixed object,5,Thursday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,6,248820,1,0,0,1,0,1,1,2,T intersection,3,999,Local Road
T20120000251,2012-01-05,08:00:00,1,Collision with vehicle,5,Thursday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,40942,2,0,0,1,1,2,1,2,T intersection,3,80,Arterial Other
T20120000255,2012-01-05,07:40:00,1,Collision with vehicle,5,Thursday,120,HEAD ON (NOT OVERTAKING),1,250963,2,0,1,1,0,2,1,5,Not at intersection,2,70,Arterial Highway
T20120000256,2012-01-05,08:15:00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH,1,238816,2,0,1,2,0,3,1,1,Cross intersection,2,60,Arterial Other
T20120000258,2012-01-05,09:09:00,1,Collision with vehicle,4,Thursday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),1,36645,2,0,1,0,1,2,1,2,T intersection,2,40,Arterial Other
T20120000263,2012-01-05,08:41:00,1,Collision with vehicle,5,Thursday,137,LEFT TURN SIDESWIPE,1,65612,2,0,0,1,1,2,1,2,T intersection,3,70,Arterial Highway
T20120000306,2012-01-05,16:30:00,1,Collision with vehicle,5,Thursday,142,LEAVING PARKING,1,273206,4,0,0,2,1,3,1,5,Not at intersection,3,50,Local Road
