ACCIDENT_NO,PERSON_ID,VEHICLE_ID,SEX,AGE_GROUP,INJ_LEVEL,INJ_LEVEL_DESC,SEATING_POSITION,HELMET_BELT_WORN,ROAD_USER_TYPE,ROAD_USER_TYPE_DESC,LICENCE_STATE,TAKEN_HOSPITAL,EJECTED_CODE
T20220015906,A,A,F,18-21,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20200019793,01,B,F,5-12,4,Not injured,RR,3.0,3,Passengers,,,
T20220028223,A,A,M,40-49,4,Not injured,D,2.0,2,Drivers,V,,0.0
T20210022285,B,B,F,50-59,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20210000163,A,A,F,18-21,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20210009162,B,B,F,65-69,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20210003091,A,A,M,50-59,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20210000764,A,A,M,26-29,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20210000163,01,A,F,18-21,3,Other injury,LF,1.0,3,Passengers,,N,0.0
T20220019545,B,B,F,70+,3,Other injury,D,9.0,2,Drivers,V,N,0.0
T20160013319,C,C,F,30-39,3,Other injury,D,9.0,2,Drivers,V,,0.0
T20220026259,02,B,F,22-25,3,Other injury,RR,1.0,3,Passengers,,,0.0
T20170002776,A,A,F,26-29,3,Other injury,D,1.0,2,Drivers,Z,,0.0
T20210008376,01,,F,70+,2,Serious injury,,8.0,1,Pedestrians,,Y,0.0
T20220028223,01,C,M,0-4,4,Not injured,LR,3.0,3,Passengers,,,0.0
T20210011234,A,A,M,26-29,3,Other injury,D,6.0,4,Motorcyclists,V,,2.0
T20210005648,04,B,F,5-12,3,Other injury,CR,3.0,3,Passengers,,N,0.0
T20210005797,B,B,F,40-49,2,Serious injury,D,9.0,2,Drivers,V,Y,0.0
T20210010247,B,B,M,26-29,2,Serious injury,D,6.0,4,Motorcyclists,V,Y,1.0
T20210010000,A,A,F,40-49,4,Not injured,D,1.0,2,Drivers,V,,
T20210005114,A,A,M,30-39,3,Other injury,D,9.0,2,Drivers,V,,0.0
T20210005114,01,A,M,Unknown,3,Other injury,LF,9.0,3,Passengers,,N,0.0
T20210005114,B,B,M,40-49,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20210011023,B,B,F,18-21,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20210008537,B,B,F,30-39,4,Not injured,D,1.0,2,Drivers,V,,9.0
T20210016857,A,A,M,50-59,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20210010417,01,,F,18-21,3,Other injury,,8.0,1,Pedestrians,,N,0.0
T20190019004,B,B,U,Unknown,4,Not injured,D,9.0,2,Drivers,Z,,
T20210003664,A,A,F,40-49,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20220006242,A,A,M,30-39,3,Other injury,D,1.0,2,Drivers,V,N,9.0
T20180020612,01,B,M,30-39,2,Serious injury,LF,2.0,3,Passengers,,Y,0.0
T20190024192,B,B,M,40-49,3,Other injury,D,9.0,2,Drivers,V,,9.0
T20190005226,A,A,M,30-39,3,Other injury,D,9.0,2,Drivers,V,,9.0
T20190005226,B,B,M,50-59,4,Not injured,D,9.0,2,Drivers,V,,9.0
T20190022616,C,C,F,22-25,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20200007813,01,A,F,18-21,2,Serious injury,LF,1.0,3,Passengers,,Y,0.0
T20220015505,A,A,M,70+,4,Not injured,D,1.0,2,Drivers,Z,,0.0
T20180006478,01,A,F,22-25,2,Serious injury,LF,1.0,3,Passengers,,Y,0.0
T20190011233,02,B,F,30-39,4,Not injured,LF,1.0,3,Passengers,,,
T20190010502,B,B,M,30-39,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20240012746,B,B,M,30-39,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20140023083,01,,U,Unknown,3,Other injury,,8.0,1,Pedestrians,,,0.0
T20190004157,B,B,F,22-25,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20190021987,B,B,F,18-21,4,Not injured,D,1.0,2,Drivers,V,,9.0
T20190018017,D,D,M,50-59,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20180010443,A,A,M,40-49,4,Not injured,D,1.0,2,Drivers,V,,
T20190024826,02,A,F,5-12,4,Not injured,LR,9.0,3,Passengers,,,0.0
T20190024826,03,A,F,5-12,4,Not injured,RR,9.0,3,Passengers,,,0.0
T20150012327,01,B,M,5-12,3,Other injury,CR,1.0,3,Passengers,,N,0.0
T20190011141,B,B,M,65-69,4,Not injured,D,9.0,2,Drivers,V,,
T20180010555,B,B,F,22-25,4,Not injured,D,1.0,2,Drivers,V,,
T20200020723,A,A,M,30-39,4,Not injured,D,9.0,2,Drivers,V,,
T20170009898,01,B,F,22-25,4,Not injured,LF,1.0,3,Passengers,,,0.0
T20230009291,A,A,F,65-69,3,Other injury,D,1.0,2,Drivers,A,N,0.0
T20190008803,A,A,M,40-49,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20170008203,A,A,F,50-59,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20160028056,01,,M,30-39,2,Serious injury,,8.0,1,Pedestrians,,Y,0.0
T20120008327,01,A,M,18-21,4,Not injured,LF,9.0,3,Passengers,V,,0.0
T20190018400,01,A,F,40-49,3,Other injury,LF,1.0,3,Passengers,,N,0.0
T20190010873,A,A,F,65-69,2,Serious injury,D,9.0,2,Drivers,V,Y,
T20160004124,01,A,F,70+,4,Not injured,LF,1.0,3,Passengers,,,0.0
T20180003641,B,B,M,40-49,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20190015565,02,A,F,26-29,4,Not injured,RR,2.0,3,Passengers,,,0.0
T20190015565,03,A,F,16-17,4,Not injured,LR,1.0,3,Passengers,,,0.0
T20180023139,01,,M,40-49,2,Serious injury,,8.0,1,Pedestrians,,Y,0.0
T20200003331,A,A,M,40-49,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20190013532,A,A,M,40-49,4,Not injured,D,1.0,2,Drivers,V,N,0.0
T20190013532,B,B,M,18-21,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20180003641,A,A,M,18-21,2,Serious injury,D,9.0,2,Drivers,V,Y,0.0
T20190022334,A,A,F,65-69,3,Other injury,D,1.0,2,Drivers,Z,,0.0
T20190001185,B,B,M,40-49,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20190001185,02,B,M,26-29,4,Not injured,LF,9.0,3,Passengers,,,0.0
T20190001185,A,A,M,22-25,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20190001185,01,A,F,22-25,3,Other injury,LF,9.0,3,Passengers,,,0.0
T20190001185,C,C,F,22-25,4,Not injured,D,9.0,2,Drivers,Z,,0.0
T20190001185,04,C,M,0-4,4,Not injured,CR,3.0,3,Passengers,,,0.0
T20190001185,03,C,F,40-49,3,Other injury,LF,9.0,3,Passengers,,,0.0
T20190023878,A,A,F,30-39,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20190026561,B,B,M,60-64,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20170023827,02,A,U,0-4,3,Other injury,RR,9.0,3,Passengers,,N,0.0
T20170008041,A,A,F,18-21,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20160012125,A,A,M,26-29,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20180013162,A,A,F,40-49,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20210009897,A,A,F,70+,3,Other injury,D,9.0,2,Drivers,V,N,0.0
T20210011662,A,A,M,40-49,2,Serious injury,D,9.0,4,Motorcyclists,V,Y,1.0
T20140015256,A,A,M,40-49,3,Other injury,D,9.0,2,Drivers,V,,0.0
T20160008227,02,,F,30-39,2,Serious injury,,8.0,1,Pedestrians,,Y,0.0
T20160008227,01,,M,40-49,2,Serious injury,,8.0,1,Pedestrians,,Y,0.0
T20190006498,B,B,M,65-69,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20190006971,01,,M,0-4,3,Other injury,,8.0,1,Pedestrians,,N,0.0
T20190006971,A,A,F,40-49,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20190006598,A,A,F,26-29,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20190021318,A,A,F,65-69,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20190021318,C,C,M,5-12,4,Not injured,D,6.0,6,Bicyclists,,,0.0
T20220016835,C,C,M,30-39,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20190020292,A,A,M,50-59,3,Other injury,D,6.0,4,Motorcyclists,V,N,1.0
T20160005211,A,A,F,70+,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20160005211,01,A,M,70+,2,Serious injury,LF,1.0,3,Passengers,,Y,0.0
T20200012181,A,A,F,26-29,3,Other injury,D,9.0,2,Drivers,V,,
T20240001586,A,A,F,26-29,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20240001586,B,B,M,13-15,3,Other injury,D,8.0,4,Motorcyclists,Z,N,1.0
T20200005372,A,A,F,60-64,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20200005372,02,,M,26-29,3,Other injury,,8.0,1,Pedestrians,,N,0.0
T20200001855,A,A,M,22-25,2,Serious injury,D,9.0,2,Drivers,V,Y,0.0
T20200016939,A,A,M,50-59,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20200016939,B,B,M,50-59,3,Other injury,D,9.0,6,Bicyclists,V,,2.0
T20190021644,A,A,F,22-25,3,Other injury,D,1.0,2,Drivers,Z,,0.0
T20150018154,A,A,M,60-64,3,Other injury,D,6.0,4,Motorcyclists,V,,1.0
T20170023730,A,A,M,40-49,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20120021482,A,A,M,30-39,3,Other injury,D,9.0,2,Drivers,V,,0.0
T20200007005,A,A,M,40-49,2,Serious injury,D,6.0,4,Motorcyclists,V,Y,1.0
T20230015089,A,A,M,40-49,3,Other injury,D,7.0,6,Bicyclists,,N,1.0
T20230016892,A,A,M,30-39,2,Serious injury,D,8.0,6,Bicyclists,,Y,1.0
T20200021653,A,A,M,70+,3,Other injury,D,9.0,2,Drivers,V,,
T20240004633,B,B,M,40-49,3,Other injury,D,9.0,6,Bicyclists,V,,0.0
T20200006733,01,B,M,60-64,4,Not injured,NK,9.0,9,Not Known,,,
T20230020512,A,A,M,50-59,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20230020512,B,B,U,Unknown,4,Not injured,NK,9.0,2,Drivers,Z,,9.0
T20200019950,A,A,M,30-39,3,Other injury,D,9.0,6,Bicyclists,V,N,1.0
T20230016892,B,B,U,Unknown,4,Not injured,NK,9.0,2,Drivers,Z,,9.0
T20200011253,A,A,F,50-59,3,Other injury,D,1.0,2,Drivers,V,,
T20200011253,01,A,M,65-69,3,Other injury,LF,1.0,3,Passengers,,,
T20120018404,A,A,F,40-49,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20120018404,B,B,M,40-49,3,Other injury,D,6.0,6,Bicyclists,V,N,1.0
T20200003494,A,A,F,22-25,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20200003494,B,B,F,18-21,3,Other injury,D,9.0,2,Drivers,V,,0.0
T20200006660,01,B,F,50-59,3,Other injury,LF,9.0,3,Passengers,,,
T20200006660,02,B,F,70+,4,Not injured,RR,9.0,3,Passengers,,,
T20200006660,B,B,M,50-59,4,Not injured,D,9.0,2,Drivers,V,,
T20200006660,C,C,M,60-64,4,Not injured,D,9.0,2,Drivers,V,,
T20200006660,A,A,F,70+,4,Not injured,D,9.0,2,Drivers,V,,
T20200006641,A,A,M,40-49,2,Serious injury,D,6.0,4,Motorcyclists,V,Y,1.0
T20200004300,C,C,F,22-25,4,Not injured,D,9.0,2,Drivers,V,,
T20200004300,A,A,M,40-49,3,Other injury,D,9.0,2,Drivers,V,,
T20200004300,B,B,M,40-49,4,Not injured,D,9.0,2,Drivers,V,,
T20230014376,A,A,F,22-25,3,Other injury,D,8.0,2,Drivers,Z,N,0.0
T20200003494,01,A,F,0-4,3,Other injury,OR,3.0,3,Passengers,,,0.0
T20120019831,A,A,M,40-49,2,Serious injury,D,9.0,6,Bicyclists,V,,0.0
T20160011519,A,A,M,40-49,2,Serious injury,D,6.0,4,Motorcyclists,V,Y,1.0
T20190000690,A,A,F,30-39,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20190000690,B,B,M,5-12,3,Other injury,D,9.0,6,Bicyclists,,,1.0
T20230012793,A,A,M,60-64,2,Serious injury,D,6.0,4,Motorcyclists,V,Y,1.0
T20230021521,01,A,M,16-17,2,Serious injury,NK,8.0,9,Not Known,,Y,0.0
T20230016783,A,A,M,30-39,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20230016783,B,B,F,26-29,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20230014517,B,B,M,70+,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20120019143,01,A,F,30-39,3,Other injury,LF,1.0,3,Passengers,V,N,0.0
T20120019143,A,A,M,60-64,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20130006357,01,,F,0-4,3,Other injury,,8.0,1,Pedestrians,,,0.0
T20130006357,A,A,M,40-49,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20240002391,A,A,M,50-59,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20220004872,01,B,F,26-29,2,Serious injury,LF,9.0,3,Passengers,,Y,0.0
T20230022934,A,A,F,70+,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20230014839,A,A,M,50-59,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20120019528,A,A,M,26-29,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20120019528,01,A,U,30-39,3,Other injury,LF,9.0,3,Passengers,,N,0.0
T20120019528,B,B,M,30-39,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20120020439,06,B,F,0-4,4,Not injured,RR,3.0,3,Passengers,,,0.0
T20120020439,B,B,F,30-39,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20120020439,01,A,M,5-12,4,Not injured,LF,1.0,3,Passengers,,,0.0
T20120020439,02,A,F,5-12,4,Not injured,LR,3.0,3,Passengers,,,0.0
T20120020439,03,B,M,5-12,4,Not injured,LF,1.0,3,Passengers,,,0.0
T20120020439,04,B,F,5-12,4,Not injured,CR,3.0,3,Passengers,,,0.0
T20210010417,A,A,M,18-21,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20210009477,B,B,M,26-29,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20210009477,A,A,M,50-59,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20150016376,83,B,U,Unknown,4,Not injured,NK,8.0,8,Passengers,,,0.0
T20170005698,01,A,U,Unknown,4,Not injured,LF,1.0,3,Passengers,,,0.0
T20210011390,B,B,F,50-59,3,Other injury,D,9.0,2,Drivers,V,,
T20220009657,A,A,F,70+,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20210024964,01,B,F,18-21,4,Not injured,LF,1.0,3,Passengers,,,0.0
T20190013161,01,B,F,18-21,2,Serious injury,LF,9.0,3,Passengers,,Y,0.0
T20210002923,01,,F,16-17,2,Serious injury,,8.0,1,Pedestrians,,Y,0.0
T20210014419,C,C,F,60-64,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20210010008,01,A,M,0-4,2,Serious injury,LR,3.0,3,Passengers,,Y,0.0
T20240008165,B,B,M,22-25,3,Other injury,D,1.0,2,Drivers,V,,9.0
T20210008575,A,A,M,18-21,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20210008575,01,,F,50-59,3,Other injury,,8.0,1,Pedestrians,,N,0.0
T20210009099,C,C,M,18-21,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20210009093,01,B,F,65-69,4,Not injured,LF,1.0,3,Passengers,,,
T20230008485,02,A,M,26-29,3,Other injury,LF,1.0,3,Passengers,,,0.0
T20190021029,04,,M,5-12,3,Other injury,,8.0,1,Pedestrians,,Y,0.0
T20190011792,A,A,F,40-49,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20190011792,01,B,F,13-15,4,Not injured,LF,9.0,3,Passengers,,,0.0
T20190011792,B,B,M,22-25,3,Other injury,D,9.0,2,Drivers,V,,0.0
T20210012810,B,B,F,65-69,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20190010427,02,B,F,0-4,4,Not injured,RR,3.0,3,Passengers,,,0.0
T20190018354,A,A,F,40-49,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20190021927,03,A,U,5-12,3,Other injury,CR,1.0,3,Passengers,,,0.0
T20190011790,C,C,M,22-25,4,Not injured,D,9.0,2,Drivers,V,,
T20190011790,B,B,M,30-39,4,Not injured,D,9.0,2,Drivers,V,,
T20190011790,A,A,F,50-59,2,Serious injury,D,1.0,2,Drivers,V,Y,
T20190020625,04,B,M,65-69,3,Other injury,LF,1.0,3,Passengers,,,
T20190020625,A,A,M,26-29,4,Not injured,D,1.0,2,Drivers,S,,
T20190013311,02,C,M,60-64,4,Not injured,LF,1.0,3,Passengers,,,0.0
T20190020625,03,A,F,0-4,4,Not injured,RR,3.0,3,Passengers,,,
T20190018317,02,A,F,60-64,4,Not injured,LR,1.0,3,Passengers,,,0.0
T20170004357,B,B,F,30-39,3,Other injury,D,1.0,2,Drivers,V,Y,0.0
T20180002017,02,A,U,5-12,3,Other injury,LR,3.0,3,Passengers,,N,0.0
T20190010064,A,A,F,30-39,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20190010064,B,B,M,50-59,2,Serious injury,D,9.0,6,Bicyclists,V,Y,1.0
T20190010185,B,B,F,50-59,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20190010185,A,A,F,50-59,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20160027579,A,A,F,30-39,3,Other injury,D,9.0,2,Drivers,,,0.0
T20160012727,B,B,M,50-59,4,Not injured,D,1.0,2,Drivers,V,,0.0
